,Stock,Macro precision,Micro precision,Macro f1,Micro f1
0,MSFT,0.603041774589892,0.676712328767123,0.605586080586081,0.676712328767123
1,INTC,0.536922442244225,0.427397260273973,0.427380067707043,0.427397260273973
2,EBAY,0.532039141414141,0.419178082191781,0.411755762330475,0.419178082191781
3,XOM,0.5553935359912167,0.5150684931506849,0.5117702626109957,0.5150684931506849
4,AAPL,0.5990434782608696,0.5150684931506849,0.5150539329385007,0.5150684931506849
5,UAL,0.6811594202898551,0.5753424657534246,0.4428358987994997,0.5753424657534246
6,JPM,0.5740600133632995,0.6,0.5592370806590352,0.6
7,DAL,0.2342465753424657,0.4684931506849315,0.3190298507462686,0.4684931506849315
8,DKNG,0.3316666666666666,0.6633333333333333,0.3987975951903807,0.6633333333333333
9,USB,0.6321744933867249,0.6109589041095891,0.6025794381057539,0.6109589041095891
10,WFC,0.5172867412732528,0.4465753424657534,0.4443690842225839,0.4465753424657534
11,BMY,0.5269794721407625,0.7808219178082192,0.5285455954533712,0.7808219178082192
12,CSCO,0.5903249120160885,0.6547945205479452,0.5764257294429709,0.6547945205479452
13,PFE,0.5750203809382644,0.6986301369863014,0.5782563025210083,0.6986301369863014
14,T,0.563087544065805,0.7780821917808219,0.569707025280531,0.7780821917808218
15,BA,0.5664523043944265,0.4958904109589041,0.4465321729957806,0.4958904109589041
